cover_image_name,k,t,value
t02,5,370000,0.9931000137428241
t02,6,100,1.0
t02,6,370000,0.9931000137428241
t02,7,100,1.0
t02,7,370000,0.9931000137428241
t02,8,100,1.0
t02,8,370000,0.9931000137428241
t02,1,16,1.0
t02,1,32,1.0
t02,1,64,1.0
t02,1,128,1.0
t02,1,256,1.0
t02,1,512,1.0
t02,1,1024,0.9970617042115573
t02,1,2048,0.9965703086722195
t02,1,4096,0.9970617042115573
t02,1,8192,0.9968774872956591
t02,1,16384,0.9941369677993677
t02,1,32768,0.9926681934859128
t02,1,65536,0.9914202390021315
t02,1,131072,0.9920756066332671
t02,1,262144,0.9919884026986028
t02,2,16,1.0
t02,2,32,1.0
t02,2,64,1.0
t02,2,128,1.0
t02,2,256,1.0
t02,2,512,1.0
t02,2,1024,0.9970617042115573
t02,2,2048,0.9965703086722195
t02,2,4096,0.9970617042115573
t02,2,8192,0.9968774872956591
t02,2,16384,0.9941369677993677
t02,2,32768,0.9926681934859128
t02,2,65536,0.9914202390021315
t02,2,131072,0.9920756066332671
t02,2,262144,0.9919884026986028
s01,1,100,1.0
s01,1,370000,0.9931000137428241
s01,2,100,1.0
s01,2,370000,0.9931000137428241
s01,3,100,1.0
s01,3,370000,0.9931000137428241
s01,4,100,1.0
s01,4,370000,0.9931000137428241
s01,5,100,1.0
s01,5,370000,0.9931000137428241
s01,6,100,1.0
s01,6,370000,0.9931000137428241
s01,7,100,1.0
s01,7,370000,0.9931000137428241
s01,8,100,1.0
s01,8,370000,0.9931000137428241
s01,1,16,1.0
s01,1,32,1.0
s01,1,64,1.0
s01,1,128,1.0
s01,1,256,1.0
s01,1,512,1.0
s01,1,1024,0.9970617042115573
s01,1,2048,0.9965703086722195
s01,1,4096,0.9970617042115573
s01,1,8192,0.9968774872956591
s01,1,16384,0.9941369677993677
s01,1,32768,0.9926681934859128
s01,1,65536,0.9914202390021315
s01,1,131072,0.9920756066332671
s01,1,262144,0.9919884026986028
s01,2,16,1.0
s01,2,32,1.0
s01,2,64,1.0
s01,2,128,1.0
s01,2,256,1.0
s01,2,512,1.0
s01,2,1024,0.9970617042115573
s01,2,2048,0.9965703086722195
s01,2,4096,0.9970617042115573
s01,2,8192,0.9968774872956591
s01,2,16384,0.9941369677993677
s01,2,32768,0.9926681934859128
s01,2,65536,0.9914202390021315
s01,2,131072,0.9920756066332671
s01,2,262144,0.9919884026986028
s02,1,100,1.0
s02,1,370000,0.9931000137428241
s02,2,100,1.0
s02,2,370000,0.9931000137428241
s02,3,100,1.0
s02,3,370000,0.9931000137428241
s02,4,100,1.0
s02,4,370000,0.9931000137428241
s02,5,100,1.0
s02,5,370000,0.9931000137428241
s02,6,100,1.0
s02,6,370000,0.9931000137428241
s02,7,100,1.0
s02,7,370000,0.9931000137428241
s02,8,100,1.0
s02,8,370000,0.9931000137428241
s02,1,16,1.0
s02,1,32,1.0
s02,1,64,1.0
s02,1,128,1.0
s02,1,256,1.0
s02,1,512,1.0
s02,1,1024,0.9970617042115573
s02,1,2048,0.9965703086722195
s02,1,4096,0.9970617042115573
s02,1,8192,0.9968774872956591
s02,1,16384,0.9941369677993677
s02,1,32768,0.9926681934859128
s02,1,65536,0.9914202390021315
s02,1,131072,0.9920756066332671
s02,1,262144,0.9919884026986028
s02,2,16,1.0
s02,2,32,1.0
s02,2,64,1.0
s02,2,128,1.0
s02,2,256,1.0
s02,2,512,1.0
s02,2,1024,0.9970617042115573
s02,2,2048,0.9965703086722195
s02,2,4096,0.9970617042115573
s02,2,8192,0.9968774872956591
s02,2,16384,0.9941369677993677
s02,2,32768,0.9926681934859128
s02,2,65536,0.9914202390021315
s02,2,131072,0.9920756066332671
s02,2,262144,0.9919884026986028
