cover_image_name,k,t,metric,value
s02,5,100,psnr,66.43
s02,5,370000,mse,48.32
s02,5,370000,psnr,31.29
s02,6,100,mse,0.04662
s02,6,100,psnr,61.45
s02,6,370000,mse,167.0
s02,6,370000,psnr,25.9
s02,7,100,mse,0.1602
s02,7,100,psnr,56.08
s02,7,370000,mse,591.0
s02,7,370000,psnr,20.41
s02,8,100,mse,0.51
s02,8,100,psnr,51.06
s02,8,370000,mse,2253.0
s02,8,370000,psnr,14.6
s02,1,16,mse,3.108e-05
s02,1,16,psnr,93.21
s02,1,32,mse,5.919e-05
s02,1,32,psnr,90.41
s02,1,64,mse,0.0001065
s02,1,64,psnr,87.86
s02,1,128,mse,0.0001971
s02,1,128,psnr,85.18
s02,1,256,mse,0.0003763
s02,1,256,psnr,82.38
s02,1,512,mse,0.0006892
s02,1,512,psnr,79.75
s02,1,1024,mse,0.001358
s02,1,1024,psnr,76.8
s02,1,2048,mse,0.002619
s02,1,2048,psnr,73.95
s02,1,4096,mse,0.005245
s02,1,4096,psnr,70.93
s02,1,8192,mse,0.01055
s02,1,8192,psnr,67.9
s02,1,16384,mse,0.02107
s02,1,16384,psnr,64.89
s02,1,32768,mse,0.04241
s02,1,32768,psnr,61.86
s02,1,65536,mse,0.08487
s02,1,65536,psnr,58.84
s02,1,131072,mse,0.1716
s02,1,131072,psnr,55.79
s02,1,262144,mse,0.3473
s02,1,262144,psnr,52.72
s02,2,16,mse,7.837e-05
s02,2,16,psnr,89.19
s02,2,32,mse,0.0001362
s02,2,32,psnr,86.79
s02,2,64,mse,0.0002943
s02,2,64,psnr,83.44
s02,2,128,mse,0.0005433
s02,2,128,psnr,80.78
s02,2,256,mse,0.001018
s02,2,256,psnr,78.05
s02,2,512,mse,0.00212
s02,2,512,psnr,74.87
s02,2,1024,mse,0.004087
s02,2,1024,psnr,72.02
s02,2,2048,mse,0.008199
s02,2,2048,psnr,68.99
s02,2,4096,mse,0.01592
s02,2,4096,psnr,66.11
s02,2,8192,mse,0.03126
s02,2,8192,psnr,63.18
s02,2,16384,mse,0.06221
s02,2,16384,psnr,60.19
s02,2,32768,mse,0.1239
s02,2,32768,psnr,57.2
s02,2,65536,mse,0.2483
s02,2,65536,psnr,54.18
s02,2,131072,mse,0.4968
s02,2,131072,psnr,51.17
s02,2,262144,mse,0.975
s02,2,262144,psnr,48.24
n01,1,100,ssim,1.0
n01,1,370000,ssim,1.0
n01,2,100,ssim,1.0
n01,2,370000,ssim,0.9999
n01,3,100,ssim,1.0
n01,3,370000,ssim,0.9998
n01,4,100,ssim,1.0
n01,4,370000,ssim,0.9993
n01,5,100,ssim,1.0
n01,5,370000,ssim,0.9977
n01,6,100,ssim,1.0
n01,6,370000,ssim,0.9922
n01,7,100,ssim,1.0
n01,7,370000,ssim,0.973
n01,8,100,ssim,1.0
n01,8,370000,ssim,0.9096
n01,1,16,ssim,1.0
n01,1,32,ssim,1.0
n01,1,64,ssim,1.0
n01,1,128,ssim,1.0
n01,1,256,ssim,1.0
n01,1,512,ssim,1.0
n01,1,1024,ssim,1.0
n01,1,2048,ssim,1.0
n01,1,4096,ssim,1.0
n01,1,8192,ssim,1.0
n01,1,16384,ssim,1.0
n01,1,32768,ssim,1.0
n01,1,65536,ssim,1.0
n01,1,131072,ssim,1.0
n01,1,262144,ssim,1.0
n01,2,16,ssim,1.0
n01,2,32,ssim,1.0
n01,2,64,ssim,1.0
n01,2,128,ssim,1.0
n01,2,256,ssim,1.0
n01,2,512,ssim,1.0
n01,2,1024,ssim,1.0
n01,2,2048,ssim,1.0
n01,2,4096,ssim,1.0
n01,2,8192,ssim,1.0
n01,2,16384,ssim,1.0
n01,2,32768,ssim,1.0
n01,2,65536,ssim,1.0
n01,2,131072,ssim,1.0
n01,2,262144,ssim,1.0
n02,1,100,ssim,1.0
n02,1,370000,ssim,1.0
n02,2,100,ssim,1.0
n02,2,370000,ssim,0.9999
n02,3,100,ssim,1.0
n02,3,370000,ssim,0.9997
n02,4,100,ssim,1.0
n02,4,370000,ssim,0.9989
n02,5,100,ssim,1.0
n02,5,370000,ssim,0.9962
n02,6,100,ssim,1.0
n02,6,370000,ssim,0.9879
n02,7,100,ssim,1.0
n02,7,370000,ssim,0.9634
n02,8,100,ssim,1.0
n02,8,370000,ssim,0.8696
n02,1,16,ssim,1.0
n02,1,32,ssim,1.0
n02,1,64,ssim,1.0
n02,1,128,ssim,1.0
n02,1,256,ssim,1.0
n02,1,512,ssim,1.0
n02,1,1024,ssim,1.0
n02,1,2048,ssim,1.0
n02,1,4096,ssim,1.0
n02,1,8192,ssim,1.0
n02,1,16384,ssim,1.0
n02,1,32768,ssim,1.0
n02,1,65536,ssim,1.0
n02,1,131072,ssim,1.0
n02,1,262144,ssim,1.0
n02,2,16,ssim,1.0
n02,2,32,ssim,1.0
n02,2,64,ssim,1.0
n02,2,128,ssim,1.0
n02,2,256,ssim,1.0
n02,2,512,ssim,1.0
n02,2,1024,ssim,1.0
n02,2,2048,ssim,1.0
n02,2,4096,ssim,1.0
n02,2,8192,ssim,1.0
n02,2,16384,ssim,1.0
n02,2,32768,ssim,1.0
n02,2,65536,ssim,1.0
n02,2,131072,ssim,1.0
n02,2,262144,ssim,0.9999
t01,1,100,ssim,1.0
t01,1,370000,ssim,0.9998
t01,2,100,ssim,1.0
t01,2,370000,ssim,0.9995
t01,3,100,ssim,1.0
t01,3,370000,ssim,0.9983
t01,4,100,ssim,1.0
t01,4,370000,ssim,0.9938
t01,5,100,ssim,1.0
t01,5,370000,ssim,0.9777
t01,6,100,ssim,1.0
t01,6,370000,ssim,0.9262
t01,7,100,ssim,0.9999
t01,7,370000,ssim,0.7695
t01,8,100,ssim,0.9997
t01,8,370000,ssim,0.4254
t01,1,16,ssim,1.0
t01,1,32,ssim,1.0
t01,1,64,ssim,1.0
t01,1,128,ssim,1.0
t01,1,256,ssim,1.0
t01,1,512,ssim,1.0
t01,1,1024,ssim,1.0
t01,1,2048,ssim,1.0
t01,1,4096,ssim,1.0
t01,1,8192,ssim,1.0
t01,1,16384,ssim,1.0
t01,1,32768,ssim,1.0
t01,1,65536,ssim,1.0
t01,1,131072,ssim,0.9999
t01,1,262144,ssim,0.9999
t01,2,16,ssim,1.0
t01,2,32,ssim,1.0
t01,2,64,ssim,1.0
t01,2,128,ssim,1.0
t01,2,256,ssim,1.0
t01,2,512,ssim,1.0
t01,2,1024,ssim,1.0
t01,2,2048,ssim,1.0
t01,2,4096,ssim,1.0
t01,2,8192,ssim,1.0
t01,2,16384,ssim,1.0
t01,2,32768,ssim,0.9999
t01,2,65536,ssim,0.9999
t01,2,131072,ssim,0.9998
t01,2,262144,ssim,0.9996
t02,1,100,ssim,1.0
t02,1,370000,ssim,0.9999
t02,2,100,ssim,1.0
t02,2,370000,ssim,0.9997
t02,3,100,ssim,1.0
t02,3,370000,ssim,0.9988
t02,4,100,ssim,1.0
t02,4,370000,ssim,0.9956
t02,5,100,ssim,1.0
t02,5,370000,ssim,0.9847
t02,6,100,ssim,1.0
t02,6,370000,ssim,0.9493
t02,7,100,ssim,0.9999
t02,7,370000,ssim,0.8309
t02,8,100,ssim,0.9997
t02,8,370000,ssim,0.531
t02,1,16,ssim,1.0
t02,1,32,ssim,1.0
t02,1,64,ssim,1.0
t02,1,128,ssim,1.0
t02,1,256,ssim,1.0
t02,1,512,ssim,1.0
t02,1,1024,ssim,1.0
t02,1,2048,ssim,1.0
t02,1,4096,ssim,1.0
t02,1,8192,ssim,1.0
t02,1,16384,ssim,1.0
t02,1,32768,ssim,1.0
t02,1,65536,ssim,1.0
t02,1,131072,ssim,1.0
t02,1,262144,ssim,0.9999
t02,2,16,ssim,1.0
t02,2,32,ssim,1.0
t02,2,64,ssim,1.0
t02,2,128,ssim,1.0
t02,2,256,ssim,1.0
t02,2,512,ssim,1.0
t02,2,1024,ssim,1.0
t02,2,2048,ssim,1.0
t02,2,4096,ssim,1.0
t02,2,8192,ssim,1.0
t02,2,16384,ssim,1.0
t02,2,32768,ssim,1.0
t02,2,65536,ssim,0.9999
t02,2,131072,ssim,0.9999
t02,2,262144,ssim,0.9998
s01,1,100,ssim,1.0
s01,1,370000,ssim,1.0
s01,2,100,ssim,1.0
s01,2,370000,ssim,0.9999
s01,3,100,ssim,1.0
s01,3,370000,ssim,0.9997
s01,4,100,ssim,1.0
s01,4,370000,ssim,0.999
s01,5,100,ssim,1.0
s01,5,370000,ssim,0.997
s01,6,100,ssim,1.0
s01,6,370000,ssim,0.9892
s01,7,100,ssim,1.0
s01,7,370000,ssim,0.9672
s01,8,100,ssim,1.0
s01,8,370000,ssim,0.8636
s01,1,16,ssim,1.0
s01,1,32,ssim,1.0
s01,1,64,ssim,1.0
s01,1,128,ssim,1.0
s01,1,256,ssim,1.0
s01,1,512,ssim,1.0
s01,1,1024,ssim,1.0
s01,1,2048,ssim,1.0
s01,1,4096,ssim,1.0
s01,1,8192,ssim,1.0
s01,1,16384,ssim,1.0
s01,1,32768,ssim,1.0
s01,1,65536,ssim,1.0
s01,1,131072,ssim,1.0
s01,1,262144,ssim,1.0
s01,2,16,ssim,1.0
s01,2,32,ssim,1.0
s01,2,64,ssim,1.0
s01,2,128,ssim,1.0
s01,2,256,ssim,1.0
s01,2,512,ssim,1.0
s01,2,1024,ssim,1.0
s01,2,2048,ssim,1.0
s01,2,4096,ssim,1.0
s01,2,8192,ssim,1.0
s01,2,16384,ssim,1.0
s01,2,32768,ssim,1.0
s01,2,65536,ssim,1.0
s01,2,131072,ssim,1.0
s01,2,262144,ssim,0.9999
s02,1,100,ssim,1.0
